INFO  - 2014-03-10 06:40:48.066; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2014-03-10 06:40:48.066; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/contrib/extraction/lib/fontbox-1.8.1.jar' to classloader
INFO  - 2014-03-10 06:40:48.066; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/contrib/extraction/lib/icu4j-52.1.jar' to classloader
INFO  - 2014-03-10 06:40:48.066; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2014-03-10 06:40:48.067; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2014-03-10 06:40:48.067; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/contrib/extraction/lib/jempbox-1.8.1.jar' to classloader
INFO  - 2014-03-10 06:40:48.067; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2014-03-10 06:40:48.068; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2014-03-10 06:40:48.068; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
INFO  - 2014-03-10 06:40:48.068; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/contrib/extraction/lib/pdfbox-1.8.1.jar' to classloader
INFO  - 2014-03-10 06:40:48.068; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/contrib/extraction/lib/poi-3.9.jar' to classloader
INFO  - 2014-03-10 06:40:48.069; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/contrib/extraction/lib/poi-ooxml-3.9.jar' to classloader
INFO  - 2014-03-10 06:40:48.069; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/contrib/extraction/lib/poi-ooxml-schemas-3.9.jar' to classloader
INFO  - 2014-03-10 06:40:48.069; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/contrib/extraction/lib/poi-scratchpad-3.9.jar' to classloader
INFO  - 2014-03-10 06:40:48.069; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2014-03-10 06:40:48.070; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2014-03-10 06:40:48.070; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/contrib/extraction/lib/tika-core-1.4.jar' to classloader
INFO  - 2014-03-10 06:40:48.070; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/contrib/extraction/lib/tika-parsers-1.4.jar' to classloader
INFO  - 2014-03-10 06:40:48.070; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/contrib/extraction/lib/tika-xmp-1.4.jar' to classloader
INFO  - 2014-03-10 06:40:48.071; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2014-03-10 06:40:48.071; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2014-03-10 06:40:48.071; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2014-03-10 06:40:48.071; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/contrib/extraction/lib/xmlbeans-2.3.0.jar' to classloader
INFO  - 2014-03-10 06:40:48.072; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/contrib/extraction/lib/xmpcore-5.1.2.jar' to classloader
INFO  - 2014-03-10 06:40:48.072; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/contrib/extraction/lib/xz-1.0.jar' to classloader
INFO  - 2014-03-10 06:40:48.073; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/dist/solr-cell-4.7.0.jar' to classloader
INFO  - 2014-03-10 06:40:48.109; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/contrib/clustering/lib/attributes-binder-1.2.0.jar' to classloader
INFO  - 2014-03-10 06:40:48.110; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/contrib/clustering/lib/carrot2-mini-3.8.0.jar' to classloader
INFO  - 2014-03-10 06:40:48.110; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
